# name: banks_superior_temporal_sulcus_left,caudal_anterior_cingulate_cortex_left,caudal_middle_frontal_gyrus_left,cuneus_left,entorhinal_cortex_left,fusiform_gyrus_left,inferior_parietal_gyrus_left,inferior_temporal_gyrus_left,cingulate_gyrus_isthmus_left,lateral_occipital_cortex_left,lateral_orbitofrontal_cortex_left,lingual_gyrus_left,medial_orbitofrontal_gyrus_left,middle_temporal_gyrus_left,parahippocampal_gyrus_left,paracentral_gyrus_left,inferior_frontal_gyrus_pars_opercularis_left,inferior_frontal_gyrus_pars_orbitalis_left,inferior_frontal_gyrus_pars_triangularis_left,pericalcarine_cortex_left,postcentral_gyrus_left,posterior_cingulate_gyrus_left,precentral_gyrus_left,precuneus_left,rostral_anterior_cingulate_cortex_left,rostral_middle_frontal_gyrus_left,superior_frontal_gyrus_left,superior_parietal_gyrus_left,superior_temporal_gyrus_left,supramarginal_gyrus_left,frontal_pole_left,temporal_pole_left,transverse_temporal_gyrus_left,insula_left,banks_superior_temporal_sulcus_right,caudal_anterior_cingulate_cortex_right,caudal_middle_frontal_gyrus_right,cuneus_right,entorhinal_cortex_right,fusiform_gyrus_right,inferior_parietal_gyrus_right,inferior_temporal_gyrus_right,cingulate_gyrus_isthmus_right,lateral_occipital_cortex_right,lateral_orbitofrontal_cortex_right,lingual_gyrus_right,medial_orbitofrontal_gyrus_right,middle_temporal_gyrus_right,parahippocampal_gyrus_right,paracentral_gyrus_right,inferior_frontal_gyrus_pars_opercularis_right,inferior_frontal_gyrus_pars_orbitalis_right,inferior_frontal_gyrus_pars_triangularis_right,pericalcarine_cortex_right,postcentral_gyrus_right,posterior_cingulate_gyrus_right,precentral_gyrus_right,precuneus_right,rostral_anterior_cingulate_cortex_right,rostral_middle_frontal_gyrus_right,superior_frontal_gyrus_right,superior_parietal_gyrus_right,superior_temporal_gyrus_right,supramarginal_gyrus_right,frontal_pole_right,temporal_pole_right,transverse_temporal_gyrus_right,insula_right
0,0,0,0,0,0.348827166175284,0.315607304784778,0.344602899948069,0.386398440407195,0.320161629777967,0,0,0,0.31423587725715,0,0,0,0,0,0,0.379521515801579,0.410668109590251,0.384865989646774,0.370570094058845,0,0,0.384315593356845,0.383101820346589,0.299260502009063,0.353593801392138,0,0,0.288738312612819,0.346611497175388,0,0,0.431097374182064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478335421495394,0.517554093807844,0,0,0,0.443672502995195,0,0,0.461730379511771,0,0,0,0
0,0,0.418543179874734,0,0,0,0.392806098620913,0,0.378682840602316,0.399112248425145,0.429212267693062,0,0,0.380322834684258,0,0,0.431763039123415,0.395457388447959,0.401574299754747,0,0.389922272926731,0.437650176200534,0.404292337930003,0.384327811970958,0.426518186639669,0.398999300860884,0.449233441792582,0.375469688516853,0,0.407775329439307,0,0,0,0.412005559218092,0,0.440333780398262,0.490339531854544,0,0,0,0,0,0,0,0.451983116648343,0,0.486414828780808,0,0,0.488391470063045,0.444354155571182,0,0.418054558280449,0,0.451832257500828,0.487939781898237,0.481757319497361,0,0.441387149580938,0.447297143119191,0.525083665487007,0,0,0,0.447626238544172,0,0,0.465979341800617
0,0.418543179874734,0,0,0,0.377210028451106,0.355285893296699,0.389967476011736,0.377904400030102,0.354277240976409,0.351213751860946,0,0,0.384910047138111,0,0.329859839904795,0.343008773076895,0.335356611710649,0.329813589857392,0,0.331272276553969,0.419453964529681,0.319035507899452,0.351212394350757,0.383611662262006,0.320691301162103,0.364540894475481,0.353059641433786,0.390853293721654,0.361789306536429,0,0,0.412770318216627,0.337404680413161,0.410365715224518,0.433722598186171,0.456934382434114,0,0,0.445154901206084,0.438045630229862,0.441711820573496,0.445499185851148,0,0.428741323284561,0,0.429582975694451,0.395842880989535,0,0.467528692425807,0.452215754472403,0.413175208846111,0.4016045898298,0,0.441216325066678,0.500789047130429,0.445589018242512,0.437885138512546,0.426560575017307,0.437555241201508,0.495472898045588,0.438236313374848,0,0.451074149241845,0,0,0.441888102457403,0.425253002538723
0,0,0,0,0,0,0.241098739006849,0,0,0.175730968301673,0,0.195947115557844,0,0,0,0,0,0,0,0.176290879814724,0,0,0,0.161379933889955,0,0,0,0.180087139970625,0,0,0,0,0,0,0,0,0,0.18719496440755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.19671315518535,0,0,0,0,0.179993568857791,0.261899264131713,0,0,0.278737051708809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247567143277711,0,0,0.259272059126301,0,0.272423577110767,0,0,0,0,0.330635920204084,0,0,0,0.318463509765801,0,0,0,0,0,0.327581503513529,0,0,0,0,0,0,0,0,0,0,0,0.463712777667311,0,0,0,0,0,0,0
0.348827166175284,0,0.377210028451106,0,0.19671315518535,0,0.352026674996181,0.314446315008237,0.400800620233114,0.263373657009869,0,0.281079745502923,0.422612382782216,0.364979141197118,0.208450713503046,0,0,0,0,0.277790273687076,0.413075465381309,0.423148301149588,0.390780166527874,0.351874299149952,0,0,0.377997440324344,0.382589438996532,0.387675726147354,0.354549833409502,0,0.244008999012863,0.385963232630037,0.355695345581262,0.457497698263687,0,0.448417286494903,0,0,0.482484636329691,0.463310302923539,0.455027206114229,0.482704977153049,0.493163581867747,0,0,0,0.467174020131085,0,0.462310971589303,0,0,0,0,0.45545317488754,0.480257368557359,0.489066263326005,0,0.3598676434379,0,0.459415897175067,0.436977507017587,0.502659210125359,0.469101129158723,0,0,0.509820926753548,0.44447385090798
0.315607304784778,0.392806098620913,0.355285893296699,0.241098739006849,0,0.352026674996181,0,0.369602687245032,0.425914323697746,0.324654871323438,0,0.390355182372551,0,0.380862105039816,0,0.330816444264798,0,0,0,0.276246785995037,0.370618020009879,0.408580242414427,0.397192935021357,0.347462645898396,0,0,0.392412004956101,0.357420815305595,0.358909100022666,0.332401630049576,0,0,0.420258320863585,0.352329953971963,0,0,0.421443530498696,0,0,0,0,0,0.442202876521287,0,0,0,0,0,0,0,0,0,0.363853974462275,0,0,0.434853209991739,0.428445584676474,0,0,0,0.456022566340338,0.36814898183964,0,0.428508787276387,0,0,0,0.390521478513164
0.344602899948069,0,0.389967476011736,0,0,0.314446315008237,0.369602687245032,0,0.405084309538726,0.302479001553252,0,0,0,0.319803650036176,0.305763192136663,0.354505692529839,0,0,0,0,0.400131463703127,0.396556876136342,0.381688745140272,0.378099419213586,0,0,0.394180689508098,0.371285565347723,0.333824382099865,0.359405022375451,0,0.21615635788561,0.37670240847952,0.362230506020166,0,0,0.43314301244591,0,0,0,0,0,0.435519786823675,0,0,0,0,0,0,0,0,0,0,0,0,0.450595816344909,0.46089129080039,0,0,0,0.448884017530751,0.430306298597118,0,0.456942498740501,0,0,0,0
0.386398440407195,0.378682840602316,0.377904400030102,0,0,0.400800620233114,0.425914323697746,0.405084309538726,0,0.426073887730863,0,0.271861458547218,0,0.396306135757304,0,0.333416542948065,0,0,0,0.430565002201049,0.430778979243008,0.372733438175669,0.428138534449913,0.332015703911153,0,0,0.395271035014974,0.401940644143106,0.420695261084759,0.392810655774044,0,0,0.420668414287917,0.36798918707248,0.413178493970716,0,0.421304001599535,0,0,0.447192296922083,0,0.432677129298549,0.394695496134317,0.453497564323365,0,0,0,0.448121953977585,0,0,0,0,0,0,0.474658550746341,0.504831120947414,0.469352170184986,0.394589729242007,0,0,0.461467592482775,0.426485893336204,0.381437378810256,0.457894173380082,0,0,0.442244882323264,0.391110820207791
0.320161629777967,0.399112248425145,0.354277240976409,0.175730968301673,0,0.263373657009869,0.324654871323438,0.302479001553252,0.426073887730863,0,0,0.307297973438532,0,0.36430858385677,0.257041798253874,0.370408183605511,0,0,0,0.306486905884069,0.412644790426116,0.394732225081714,0.378543085091516,0.366450598433201,0,0,0.383410248858398,0.346910413549555,0.389390043606131,0.363729187368258,0,0,0.362950877508315,0.365483104938855,0.46687379541895,0,0.426901680811004,0,0,0.465095747803547,0,0,0.45630641868248,0,0,0,0,0,0,0,0,0,0,0,0.402926791874595,0.459679797565961,0.472216955771503,0,0,0,0.455385642221846,0,0,0.449841438970687,0,0,0,0.484885563773559
