# name: banks_superior_temporal_sulcus_left,caudal_anterior_cingulate_cortex_left,caudal_middle_frontal_gyrus_left,cuneus_left,entorhinal_cortex_left,fusiform_gyrus_left,inferior_parietal_gyrus_left,inferior_temporal_gyrus_left,cingulate_gyrus_isthmus_left,lateral_occipital_cortex_left,lateral_orbitofrontal_cortex_left,lingual_gyrus_left,medial_orbitofrontal_gyrus_left,middle_temporal_gyrus_left,parahippocampal_gyrus_left,paracentral_gyrus_left,inferior_frontal_gyrus_pars_opercularis_left,inferior_frontal_gyrus_pars_orbitalis_left,inferior_frontal_gyrus_pars_triangularis_left,pericalcarine_cortex_left,postcentral_gyrus_left,posterior_cingulate_gyrus_left,precentral_gyrus_left,precuneus_left,rostral_anterior_cingulate_cortex_left,rostral_middle_frontal_gyrus_left,superior_frontal_gyrus_left,superior_parietal_gyrus_left,superior_temporal_gyrus_left,supramarginal_gyrus_left,frontal_pole_left,temporal_pole_left,transverse_temporal_gyrus_left,insula_left,banks_superior_temporal_sulcus_right,caudal_anterior_cingulate_cortex_right,caudal_middle_frontal_gyrus_right,cuneus_right,entorhinal_cortex_right,fusiform_gyrus_right,inferior_parietal_gyrus_right,inferior_temporal_gyrus_right,cingulate_gyrus_isthmus_right,lateral_occipital_cortex_right,lateral_orbitofrontal_cortex_right,lingual_gyrus_right,medial_orbitofrontal_gyrus_right,middle_temporal_gyrus_right,parahippocampal_gyrus_right,paracentral_gyrus_right,inferior_frontal_gyrus_pars_opercularis_right,inferior_frontal_gyrus_pars_orbitalis_right,inferior_frontal_gyrus_pars_triangularis_right,pericalcarine_cortex_right,postcentral_gyrus_right,posterior_cingulate_gyrus_right,precentral_gyrus_right,precuneus_right,rostral_anterior_cingulate_cortex_right,rostral_middle_frontal_gyrus_right,superior_frontal_gyrus_right,superior_parietal_gyrus_right,superior_temporal_gyrus_right,supramarginal_gyrus_right,frontal_pole_right,temporal_pole_right,transverse_temporal_gyrus_right,insula_right
0,0,0,0,0,0.309336445105771,0.28205295105069,0.321304451494594,0.416628270889972,0.30350144730913,0,0,0,0.228814536872669,0,0.395790094939526,0,0,0,0,0,0.438378471386462,0.393355160607179,0.399297978913061,0,0,0.400145089982849,0.395794616827092,0.326305887887787,0.331087029019315,0,0,0.344149041176665,0.383497118779473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.425660338676391,0,0,0,0,0,0,0,0.421432848605903,0,0.397985983433432,0,0,0.351300039361456,0.408343326415774,0.391275748047182,0.387780075964531,0,0.418325938819565,0.443848004542098,0.41133209589155,0,0.418828363239964,0.380972937103981,0.444738549377768,0.386273617265107,0,0.436268804757038,0,0,0,0.409444275694981,0,0.533371918359007,0.495067018327744,0,0,0,0.464782566124412,0,0.424531465749785,0,0,0,0,0,0,0,0.473301327083364,0,0.476923436545451,0,0.445767963519225,0.459604066575672,0.469492842469561,0,0.467949306069321,0.46196685051718,0.547795313340714,0,0,0.44067854283364,0,0,0,0.48334805781909
0,0.425660338676391,0,0,0.482336369227252,0,0.413829215571438,0.377577897212263,0.412403200883198,0,0.393749809119617,0,0.39560202495082,0,0,0.3326415157679,0.381725154496304,0.372211631382492,0.362657420431759,0,0.371973946455638,0.425719119121079,0.388494361787402,0.392663880292216,0.390998726840273,0.326586569425441,0.399162532433328,0.368377380119521,0.368669913048359,0.384697934388693,0,0,0.37225092987437,0.376128294153381,0,0.485636717168091,0.466297097951186,0,0,0.454858264827243,0.460216963324441,0.479600769643824,0.45402109377367,0.467472986985921,0.457848928502085,0,0.443886687681594,0.474862556980932,0,0.44246257826772,0.438298562600625,0.474668780032809,0,0,0.432639859137299,0.508700793135138,0.468306401306434,0,0.462993610244908,0.448509955508494,0.506756746246866,0.452050196660514,0.394752312134449,0.431526399959851,0,0,0.436076925351683,0.464892327651164
0,0,0,0,0,0.345589340097874,0.379365258131679,0,0.387051183761078,0.326483317428848,0,0.351942213135793,0,0,0,0,0,0,0,0.220549649432079,0,0,0,0.336105011895341,0,0,0,0.325627285668325,0,0,0,0,0,0,0,0,0,0.207323237551868,0,0,0,0,0,0.269325438009066,0,0.223494334612899,0,0,0,0,0,0,0,0.219936851854682,0,0,0,0,0,0,0,0.197932085143192,0,0,0,0,0,0
0,0,0.482336369227252,0,0,0.213824143615303,0,0.241603009608253,0,0.186260368485448,0,0.337897634181766,0.186619401531643,0.254531822180701,0.260367415176453,0,0,0,0,0,0,0,0.412417861755497,0,0,0,0.50942633879962,0,0.280624808351707,0,0,0.261111226588013,0,0.27737567669003,0,0,0,0,0.357068614858573,0,0,0,0.330485804199481,0,0,0.347399905872016,0,0,0.364002958348774,0,0,0,0,0,0,0,0.506194473747673,0,0,0,0.502411745205846,0,0,0.450405292871795,0,0,0,0
0.309336445105771,0,0,0.345589340097874,0.213824143615303,0,0.315004862582697,0.253356965424983,0.350580645361709,0.262726454723205,0,0.263861934661926,0.302903575248732,0.292515100746676,0.218814110175265,0.36774355984597,0,0,0,0.28173528282746,0.363425818046852,0.403696226672638,0.366638307647301,0.367734543661371,0,0,0.412491152056958,0.331787482769623,0.325955324595096,0.355206837891783,0,0.269240121873062,0.365895298539291,0.347280850097838,0,0,0,0,0,0,0,0,0.394727267046767,0.150943171865254,0,0.131883921876015,0,0,0,0,0,0,0,0,0,0,0.490455170582492,0,0,0,0.482423023309825,0,0,0,0,0,0,0
0.28205295105069,0,0.413829215571438,0.379365258131679,0,0.315004862582697,0,0.352441957499814,0.378516820676357,0.292621401288852,0,0.341114429783337,0,0.275554354139051,0,0.376071295773829,0,0,0,0.301837867534126,0.382698284772589,0.406097796159166,0.378510022145201,0.371637886220405,0,0,0.384827958796139,0.347586741794607,0.366946101380497,0.314166141217858,0,0,0.391342717855825,0.386697922932258,0,0,0,0,0,0,0,0,0.45749641144542,0,0,0,0,0,0,0.374108323929319,0,0,0,0,0,0.447129479704237,0.463421477195022,0,0,0,0.386146621372139,0,0,0,0,0,0,0
0.321304451494594,0,0.377577897212263,0,0.241603009608253,0.253356965424983,0.352441957499814,0,0.409964634158007,0.271306863705439,0,0.279309901111639,0,0.276165504097977,0.281172042743678,0.381316110316446,0,0,0,0,0.382413722732383,0.449400585329416,0.385279620217803,0.391593011411286,0,0,0.41503349214425,0.368438494720831,0.360085039783994,0.366881116066755,0,0.291819569979466,0.388794545847334,0.38560981157571,0,0,0,0,0,0,0,0,0.468109272497934,0.478358049184931,0,0,0,0,0,0,0,0,0,0,0,0.485816381660454,0.509606576217953,0,0,0,0.501152072770852,0,0,0.441809731298333,0,0,0,0
0.416628270889972,0,0.412403200883198,0.387051183761078,0,0.350580645361709,0.378516820676357,0.409964634158007,0,0.392813674622545,0,0.231408019561702,0,0.383718405543338,0.28268461283792,0.385582629214989,0,0,0,0.184640430670859,0.399149060975405,0.398694419445745,0.417942419436723,0.343931963503252,0,0,0.436198345754416,0.393873201701525,0.440166615912845,0.394689163509413,0,0,0.399578736486216,0.407463941258975,0.420236330087018,0,0,0,0,0,0,0.523894955266364,0.348237607637047,0.397021019427056,0,0.145309580500981,0,0,0,0.387996430323621,0,0,0,0,0.43543500253452,0.49101141631473,0.508126118281667,0,0,0,0.493417724290434,0.457087180585318,0,0.438288324703164,0,0,0,0
0.30350144730913,0,0,0.326483317428848,0.186260368485448,0.262726454723205,0.292621401288852,0.271306863705439,0.392813674622545,0,0,0.290689863943008,0,0.269047591266635,0.18869164530586,0.367686333612591,0,0,0,0.245711773414234,0.389805556587136,0.412881226386156,0.386387602665898,0.36467216383551,0,0,0.392113443616135,0.310168345465462,0.36940459153927,0.368032000782354,0,0,0.39607265891525,0.383858434851927,0,0,0,0.178990596406582,0,0,0,0.493511824906949,0.406494716375143,0.184074852977969,0,0.177839474086038,0,0.4310298093732,0,0.375669845413937,0,0,0,0,0,0.483722323212981,0.430261276395325,0,0,0,0.509229856278764,0,0,0,0,0,0,0
