# name: banks_superior_temporal_sulcus_left,caudal_anterior_cingulate_cortex_left,caudal_middle_frontal_gyrus_left,cuneus_left,entorhinal_cortex_left,fusiform_gyrus_left,inferior_parietal_gyrus_left,inferior_temporal_gyrus_left,cingulate_gyrus_isthmus_left,lateral_occipital_cortex_left,lateral_orbitofrontal_cortex_left,lingual_gyrus_left,medial_orbitofrontal_gyrus_left,middle_temporal_gyrus_left,parahippocampal_gyrus_left,paracentral_gyrus_left,inferior_frontal_gyrus_pars_opercularis_left,inferior_frontal_gyrus_pars_orbitalis_left,inferior_frontal_gyrus_pars_triangularis_left,pericalcarine_cortex_left,postcentral_gyrus_left,posterior_cingulate_gyrus_left,precentral_gyrus_left,precuneus_left,rostral_anterior_cingulate_cortex_left,rostral_middle_frontal_gyrus_left,superior_frontal_gyrus_left,superior_parietal_gyrus_left,superior_temporal_gyrus_left,supramarginal_gyrus_left,frontal_pole_left,temporal_pole_left,transverse_temporal_gyrus_left,insula_left,banks_superior_temporal_sulcus_right,caudal_anterior_cingulate_cortex_right,caudal_middle_frontal_gyrus_right,cuneus_right,entorhinal_cortex_right,fusiform_gyrus_right,inferior_parietal_gyrus_right,inferior_temporal_gyrus_right,cingulate_gyrus_isthmus_right,lateral_occipital_cortex_right,lateral_orbitofrontal_cortex_right,lingual_gyrus_right,medial_orbitofrontal_gyrus_right,middle_temporal_gyrus_right,parahippocampal_gyrus_right,paracentral_gyrus_right,inferior_frontal_gyrus_pars_opercularis_right,inferior_frontal_gyrus_pars_orbitalis_right,inferior_frontal_gyrus_pars_triangularis_right,pericalcarine_cortex_right,postcentral_gyrus_right,posterior_cingulate_gyrus_right,precentral_gyrus_right,precuneus_right,rostral_anterior_cingulate_cortex_right,rostral_middle_frontal_gyrus_right,superior_frontal_gyrus_right,superior_parietal_gyrus_right,superior_temporal_gyrus_right,supramarginal_gyrus_right,frontal_pole_right,temporal_pole_right,transverse_temporal_gyrus_right,insula_right
0,0,0.43627429384243,0,0,0,0.343898230500971,0.382106030312297,0.410515246011051,0.30699055069499,0,0,0,0.318554643581793,0,0.40802566375885,0,0,0,0,0,0,0.408907566543376,0.403339745307197,0,0,0.451807706926653,0.417210680426557,0.406161907325603,0.371094192889875,0,0,0.387402176198809,0.417496718343164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.427167280858415,0,0,0,0,0.431532577109066,0.433566756901929,0,0.407773447371794,0,0.421882648452685,0,0,0.29323300165086,0.410634211796742,0.414140228765912,0.33190527724752,0,0.404046765615928,0.450784382327556,0.392927506973502,0,0.399173093850547,0.400505172814941,0.461643252806171,0.436013055358885,0,0,0,0,0,0.412305328721368,0,0.474783866445019,0.455788194191325,0,0,0,0,0,0,0,0.404370158071924,0,0.41113513503234,0,0,0,0.42089659130791,0,0.384316818684979,0,0.400724331178429,0.538794949543179,0.412000455719084,0,0.405722004532289,0.416512706448132,0.482468127040991,0,0,0.355916681761471,0,0,0,0.398699137168118
0.43627429384243,0.427167280858415,0,0,0.45993355714735,0.423180059906034,0.417294444735777,0.445868156403007,0.448486188479485,0.436658689112632,0.361752992318791,0,0.39186564099045,0.415887593631808,0,0.399971030703637,0.361245988904488,0.370559811834906,0.304029864264664,0,0.361293242788453,0.443657222508094,0.348667216815731,0.435720347027272,0.361338225063321,0.354944294851005,0.400657581307939,0.413466157423716,0.441731546560048,0.386467638872954,0,0,0.449542313230362,0.398788430329451,0,0.430834270539169,0.409494705078628,0,0.465171397010639,0.411455066515171,0,0,0.454235221449932,0,0.374174386468461,0,0.390562996700447,0,0,0.434533100691813,0.383872426148122,0,0.369913016088929,0,0.376344415176981,0.472844967969936,0.423261853928227,0.403441768856927,0.37829054420351,0.382247008723654,0.492887173345749,0.448860418061981,0,0.399188942542685,0,0,0,0.374477568328373
0,0,0,0,0,0.384431939133733,0.400315414054417,0,0,0.273237606671632,0,0.240746540172124,0,0,0,0,0,0,0,0.199103326433784,0,0,0,0.361503170749015,0,0,0,0.339740203963079,0,0,0,0,0,0,0,0,0,0.179464777003911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.45993355714735,0,0,0.19133517729208,0,0.19824578536582,0,0,0,0,0,0,0.220669254102275,0,0,0,0,0,0,0.515845110865819,0,0,0,0,0.47838237637471,0,0.265777611214217,0,0,0.271102903115942,0,0.246984751658611,0,0,0,0,0.353290024933445,0,0,0,0,0,0,0,0,0,0.343329591688637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272042532900425
0,0,0.423180059906034,0.384431939133733,0.19133517729208,0,0.41961211809077,0.285245395109925,0.39760818921003,0.31617877847342,0,0.287371420603696,0.287083909144535,0.344226711747991,0.199075230060136,0.414763138961728,0.393632896091536,0,0,0.313520794695886,0.425946120468666,0.440573006031821,0.427845655542276,0.341608236086023,0,0,0.426416496916849,0.409902520836973,0.375553928715292,0.394815322630487,0,0.315087682617482,0.42557323250355,0.351226139581146,0,0,0,0,0,0.254182667865999,0,0.19946903532828,0,0.136914969438085,0,0.117805975463782,0,0,0,0,0,0,0,0,0,0.427284754099028,0,0,0,0,0,0,0,0,0,0,0,0
0.343898230500971,0,0.417294444735777,0.400315414054417,0,0.41961211809077,0,0.379790846959683,0.427318443080121,0.359110083366373,0,0.354988150437447,0,0.339046869313298,0,0.398338206193564,0.385549889043264,0,0,0.370001931555494,0.390927274495985,0.40712670430618,0.417773818018891,0.419932594779818,0,0,0.424996446980713,0.41625003782915,0.406368783671903,0.353733580084268,0,0,0.438789658577447,0.437865971016655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.382106030312297,0.431532577109066,0.445868156403007,0,0.19824578536582,0.285245395109925,0.379790846959683,0,0.427355538652125,0.30159715906653,0,0.308570070226228,0,0.333803058767278,0.178997051251976,0.417571856270695,0.406112382959065,0,0,0.290708029879769,0.414243680849368,0.458845000689653,0.429200306391502,0.402267236303349,0,0,0.46893537274544,0.404727776460642,0.399015972116323,0.37380596881405,0,0.310419684793361,0.431131082159958,0.448093720743382,0,0.432945449698962,0.410206623381001,0,0,0,0,0,0.48207381029535,0,0,0,0,0,0,0,0,0,0,0,0,0.465788588755877,0,0,0,0,0,0,0,0,0,0,0,0
0.410515246011051,0.433566756901929,0.448486188479485,0,0,0.39760818921003,0.427318443080121,0.427355538652125,0,0.406671334223881,0,0.251461542656658,0,0.409333559178762,0.16045005207888,0.408564243781622,0.422363338658042,0,0,0,0.428707155790983,0.456923309412278,0.475049066927732,0.289220872285568,0,0,0.486286150768375,0.434851540774201,0.449750333363388,0.403655152736903,0,0,0.404296907224732,0.417749594694099,0,0,0.430666037444516,0,0,0,0,0,0.45174292645032,0,0,0,0,0,0,0,0,0,0,0,0,0.429488563465866,0.439268266681098,0,0,0,0.439007045250466,0,0,0,0,0,0,0
0.30699055069499,0,0.436658689112632,0.273237606671632,0,0.31617877847342,0.359110083366373,0.30159715906653,0.406671334223881,0,0,0.322563048627572,0,0.277775974448731,0,0.384683714277252,0,0,0,0.319189769371814,0,0.396269469608122,0.419976798106171,0.394740207993262,0,0,0.425409413401526,0.345976764275509,0.420892850226931,0.374285616566741,0,0,0.400028852110045,0.406692880324315,0,0,0,0.192278226430008,0,0.208848260549216,0,0,0,0.147465551933506,0,0.153754044475755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
